Index,long,lat,LUC,blue,green,red,nir,swir16,swir22,ndvi,ndwi1,ndwi2
102,689970,4472680,5,677,968,1278,2216,2237,1763,2684,-47,1138
103,693620,4396489,4,1,184,191,1731,790,471,8012,3732,5722
104,609290,4449699,5,772,908,1186,1746,2309,1743,1909,-1388,8
105,627039,4413370,4,190,458,307,2164,1737,1035,7515,1094,3529
106,626939,4463720,4,323,616,806,2036,2200,1685,4327,-387,943
107,684340,4397659,4,150,323,254,2059,1027,591,7803,3344,5539
108,602029,4457809,4,238,617,478,3352,2206,1094,7503,2061,5078
109,667779,4424290,4,35,322,249,1559,1737,1181,7245,-540,1379
110,636969,4493010,4,705,891,1164,1404,2275,2242,934,-2367,-2298
111,629759,4438970,4,389,565,792,1466,2278,1641,2984,-2168,-563
112,667369,4496079,4,354,506,503,1740,1364,931,5514,1211,3028
113,681210,4428850,4,505,756,1134,1846,3007,2685,2389,-2392,-1851
114,641719,4456389,5,457,836,1170,1740,2373,1948,1958,-1539,-563
115,601620,4457020,4,318,488,528,2257,1918,1197,6208,811,3068
116,618880,4467330,5,824,946,1018,2294,1947,1282,3852,818,2829
117,635569,4461089,4,291,626,683,2531,2189,1377,5749,724,2952
118,625579,4444070,4,166,349,206,2203,891,440,8289,4240,6670
119,619870,4416609,4,105,249,185,2083,1149,560,8368,2889,5762
120,633249,4442860,4,298,436,625,863,1911,2015,1599,-3777,-4002
121,691639,4439970,4,116,268,426,1131,1293,1020,4527,-668,516
122,669420,4404490,5,417,650,690,2156,2037,1624,5151,283,1407
123,684279,4414190,4,41,237,156,1201,1077,620,7700,544,3190
124,705789,4404190,5,493,680,811,1512,1647,1206,3017,-427,1125
125,659200,4390330,5,562,854,1178,2010,3215,2769,2609,-2306,-1588
126,695510,4448840,4,650,796,1224,1674,2664,2380,1552,-2282,-1741
127,688160,4407910,4,405,670,670,2512,1769,1097,5788,1735,3920
128,653909,4448080,4,254,415,532,2280,1454,917,6216,2212,4263
129,695560,4398259,5,3288,3980,3692,4093,1416,1127,515,4859,5681
130,659869,4481579,4,436,638,927,1534,2443,1844,2466,-2285,-917
131,648050,4481609,4,355,475,578,802,1436,1469,1623,-2832,-2937
132,668740,4443239,4,299,488,860,1112,2211,1829,1277,-3307,-2437
133,614609,4390980,5,654,962,1338,1850,2646,2178,1606,-1770,-814
134,675620,4417410,4,2676,3652,2818,3508,1329,971,1090,4504,5664
135,601979,4428739,5,517,760,1138,1825,2590,1780,2318,-1732,124
136,649120,4460120,5,425,550,762,1129,1971,1774,1940,-2716,-2221
137,655930,4395699,5,304,512,688,1535,2556,2159,3810,-2495,-1689
138,645560,4408530,5,380,592,799,1665,2093,1435,3514,-1138,741
139,641870,4410940,5,362,620,678,2042,2324,1696,5014,-645,925
140,687179,4418490,5,249,480,644,1562,2147,1596,4161,-1577,-107
141,675749,4436250,4,375,530,758,1027,2221,2362,1507,-3676,-3939
142,705839,4430500,4,263,364,584,731,1666,1776,1117,-3900,-4168
143,675769,4491760,4,319,540,596,2208,1678,1187,5748,1363,3007
144,658550,4432900,4,324,656,576,2549,1732,979,6313,1908,4450
145,634409,4462330,4,134,310,246,1968,1510,964,7777,1316,3424
146,652379,4494400,4,162,393,408,2054,1480,1009,6685,1624,3411
147,629620,4450260,4,53,250,213,1559,1127,645,7595,1608,4147
148,600060,4425100,5,505,710,956,2425,2398,1564,4344,55,2158
149,620489,4437660,4,448,716,661,2901,2392,1565,6288,961,2991
150,691119,4446570,4,618,808,1082,1542,2882,2719,1753,-3028,-2762
151,607710,4456360,4,174,485,386,2490,1704,922,7315,1874,4595
152,669380,4395110,4,103,266,230,1964,1099,607,7903,2824,5278
153,702100,4486680,5,618,809,918,1926,2062,1545,3544,-341,1097
154,698280,4425780,4,142,276,401,1216,1317,926,5040,-398,1353
155,685720,4413150,4,250,500,552,2344,1732,1046,6187,1501,3828
156,629120,4482650,5,3768,3888,4484,4339,355,235,-164,8487,8972
157,616340,4396549,5,240,569,489,3219,2157,1359,7362,1975,4062
158,658649,4405249,4,54,272,177,2045,1388,644,8406,1913,5210
159,665860,4487080,4,202,435,383,1764,1406,939,6432,1129,3052
160,674100,4425810,4,285,506,534,2106,1612,1068,5954,1328,3270
161,605240,4476059,5,560,807,928,2272,2950,2132,4200,-1298,317
162,701369,4499899,2,866,1015,1118,1970,2110,1675,2759,-343,809
163,621259,4496349,4,286,470,497,1881,1769,1154,5820,306,2395
164,608470,4390450,5,715,990,1462,2173,3196,2602,1955,-1905,-898
165,673909,4430940,4,456,710,1078,1508,2312,2027,1662,-2104,-1468
166,627389,4442670,4,364,556,762,2067,1590,1060,4612,1304,3220
167,658929,4464380,4,175,428,514,1295,1661,1157,4317,-1238,562
168,633740,4392609,5,27,101,26,1,173,194,-9259,-9885,-9897
169,624280,4402390,4,364,633,628,3340,2409,1526,6834,1619,3727
170,624340,4446879,4,691,1134,1204,2844,1503,928,4051,3084,5079
171,618959,4472660,4,209,338,452,1731,1510,988,5858,681,2732
172,644929,4493010,4,162,278,316,1616,1374,1025,6728,809,2237
173,667769,4391320,5,710,1206,1388,3060,2337,1583,3758,1339,3181
174,682089,4426600,4,250,530,512,2205,2137,1329,6231,156,2478
175,688679,4440109,4,230,426,593,1371,1710,1182,3961,-1100,740
176,645490,4468909,4,503,758,1012,1440,2590,2504,1745,-2853,-2697
177,675759,4493320,4,184,396,293,2190,1145,660,7639,3133,5368
178,675439,4424120,4,36,337,151,2492,1087,541,8857,3925,6432
179,616059,4443769,5,530,915,1676,2475,2991,2116,1924,-944,781
180,610609,4476719,4,413,678,670,2342,1619,943,5551,1825,4258
